Day,File_Id,opp_evt,flow_rate
2013_220,47,0.0122996738978795,3235.16534
2013_220,56,0.012576176570012,3235.16534
2013_220,57,0.0119681725135216,3235.16534
2013_220,58,0.0120906829833984,3235.16534
2013_220,62,0.0115852355957031,3235.16534
2013_220,63,0.0113792419433594,3235.16534
2013_220,64,0.0116390652126736,3235.16534
2013_220,65,0.0114356994628906,3235.16534
2013_220,73,0.0119247436523438,3235.16534
2013_220,84,0.0122439466693911,3235.16534
2013_220,87,0.0128185565655048,3235.16534
2013_220,89,0.0127440232496995,3235.16534
2013_220,92,0.0131841806265024,3235.16534
2013_220,93,0.0133414635291466,3235.16534
2013_220,95,0.0121776874248798,3235.16534
2013_220,97,0.0130761953500601,3235.16534
2013_220,101,0.0134271474984976,3235.16534
2013_220,104,0.013491703913762,3235.16534
2013_220,107,0.0128332284780649,3235.16534
2013_220,111,0.0121530386117788,3235.16534
2013_220,112,0.0122481126051683,3235.16534
2013_220,117,0.0121342585637019,3235.16534
2013_220,119,0.0120216748810919,3237.25293289508
2013_220,122,0.0119476318359375,3235.16534
2013_220,130,0.0119094848632813,3235.16534
2013_220,131,0.0118331909179688,3235.16534
2013_220,139,0.0103924091045673,3235.16534
2013_220,145,0.0107803344726563,3235.16534
2013_220,148,0.0110397338867188,3235.16534
2013_220,150,0.0113501915564904,3235.16534
2013_220,151,0.0112545306865986,3237.25293289508
2013_220,152,0.0113226083608774,3235.16534
2013_220,153,0.0112480750450721,3239.34277816864
2013_220,154,0.011767834334438,3237.25293289508
2013_220,156,0.0115960928109976,3235.16534
2013_220,163,0.0122563288762019,3237.25293289508
2013_220,177,0.011865469125601,3233.07999260092
2013_220,183,0.00943286602313702,3235.16534
2013_220,200,0.0108067439152644,3230.99688381536
2013_220,201,0.0112011249248798,3237.25293289508
2013_220,203,0.0112169705904447,3235.16534
2013_220,212,0.0103695209209736,3233.07999260092
2013_220,224,0.0152799166165865,3230.99688381536
2013_220,301,0.0199295043945312,3258.25387827148
2013_220,310,0.0208282470703125,3224.760920315
2013_220,382,0.0163211822509766,3235.16534
2013_220,386,0.00696558326787117,3235.16534
2013_221,2,0.00800916883680556,3235.16534
2013_221,7,0.00679270426432292,3235.16534
2013_221,39,0.00772857666015625,3235.16534
2013_221,40,0.00674588706376011,3235.16534
2013_221,335,0.00714535183376736,3235.16534
2013_221,338,0.00701141357421875,3235.16534
2013_221,340,0.0070037841796875,3235.16534
2013_221,384,0.00619125366210938,3235.16534
2013_221,387,0.00655395136778116,3235.16534
2013_221,393,0.00674472876409018,3235.16534
2013_222,80,0.0108838762555804,3235.16534
2013_222,85,0.00835249159071181,3235.16534
2013_222,89,0.00767262776692708,3235.16534
2013_222,91,0.00730556911892361,3235.16534
2013_222,186,0.0472505357530382,3235.16534
2013_222,190,0.0502077592906599,3235.16534
2013_222,191,0.0563054163454125,3235.16534
2013_222,194,0.0516128021610783,3080.64032001836
2013_222,229,0.0538253784179688,3235.16534
2013_222,269,0.0499421354851766,3235.16534
2013_222,298,0.0471801186559358,3235.16534
2013_222,310,0.0477669455788352,3235.16534
2013_222,315,0.0462514305105795,3235.16534
2013_222,322,0.0461822493956139,3235.16534
2013_223,3,0.0555755475939262,3235.16534
2013_223,9,0.0511616686460808,3235.16534
2013_223,19,0.063172344240251,3235.16534
2013_223,22,0.0648302865321058,3235.16534
2013_223,31,0.0596832208371011,3235.16534
2013_223,37,0.0913657629558541,3235.16534
2013_223,75,0.0768562816223274,3235.16534
2013_223,85,0.0758115066678845,3235.16534
2013_223,86,0.0820420578063241,3235.16534
2013_223,87,0.0797855636139553,3235.16534
2013_223,94,0.0783733781577591,3235.16534
2013_223,102,0.0485109199205824,3235.16534
2013_223,114,0.043035443417525,3235.16534
2013_223,125,0.0377453071672355,3235.16534
2013_223,131,0.0375868740141956,3235.16534
2013_223,136,0.0378593816593266,3235.16534
2013_223,154,0.0364474651136288,3235.16534
2013_223,161,0.038220172895189,3235.16534
2013_223,162,0.0381069214876033,3235.16534
2013_223,164,0.0397749642090193,3235.16534
2013_223,166,0.0391210706300145,3235.16534
2013_223,167,0.0402437603562552,3235.16534
2013_223,168,0.0385811175431711,3235.16534
2013_223,175,0.0385669153979701,3235.16534
2013_223,176,0.0411660380747126,3235.16534
2013_223,184,0.0380731309462587,3235.16534
2013_223,185,0.0387692531711105,3235.16534
2013_223,195,0.0320200284794453,3235.16534
2013_223,202,0.0315382772645576,3235.16534
2013_223,211,0.0329816034042202,3235.16534
2013_223,213,0.0317515284677111,3235.16534
2013_223,232,0.0339674194416832,3235.16534
2013_223,233,0.0326065063476563,3235.16534
2013_223,249,0.0348578735249964,3235.16534
2013_223,260,0.0329981818908335,3235.16534
2013_223,281,0.0453464406426298,3235.16534
2013_223,286,0.0467518024577355,3235.16534
2013_223,288,0.0498537931788369,3235.16534
2013_223,290,0.0463125348140927,3235.16534
2013_223,291,0.0467936649777901,3235.16534
2013_223,293,0.0459861526946108,3235.16534
2013_223,297,0.0451550157255705,3235.16534
2013_223,303,0.0421775401023863,3235.16534
2013_223,313,0.0375061529997684,3235.16534
2013_223,324,0.0363107113373693,3235.16534
2013_223,339,0.0559943235977462,3235.16534
2013_223,356,0.058102313759027,3235.16534
2013_223,380,0.0327622776439227,3235.16534
2013_223,383,0.0448031161200236,3235.16534
2013_223,384,0.0412560578466477,3235.16534
2013_223,386,0.039398886940696,3235.16534
2013_223,393,0.0436377397236128,3235.16534
2013_223,400,0.0458399454752604,3235.16534
2013_223,401,0.0456460275062514,3235.16534
2013_223,406,0.0434953023063494,3235.16534
2013_223,407,0.0416950439765028,3235.16534
2013_224,1,0.0420633139222662,3235.16534
